Description,Verdict,Character
A wealthy and distant white man from the South who provides for his son financially but offers no public acknowledgement or emotional connection.,Bad,The Narrator's Father
"The narrator's childhood best friend, a dark-skinned, brilliant, and fiercely proud black student who becomes a respected scholar.",Good,'Shiny'
"A wealthy white woman who becomes the narrator's patron and lover, taking him to Europe and exposing him to a world of high culture.",Good,The Rich Widow
"The narrator's first close friend in the black community, who introduces him to the world of ragtime piano in Jacksonville.",Good,Red Head
A black doctor in Washington D.C. who argues that the only way for the race to advance is through the slow accumulation of wealth and culture.,Good,The Doctor
A white woman whom the narrator marries after deciding to pass for white. She loves him deeply but her existence symbolizes his final break from his racial identity.,Good,The Narrator's Wife
"The intended reader, an archetypal young person of good birth learning the complex rules of conduct, service, and conversation necessary for success in a noble household.",Good,The 'Babee' (The Youth)
"The central figure of authority in the household, who must be served with absolute deference, respect, and skill.",Good,The Lord of the Manor
"The female head of the household, to whom the 'babee' must show particular courtesy and respect.",Good,The Lady of the House
"A high-ranking household officer, representing the administrative authority that a young person must obey without question.",Good,The Steward
"A personified virtue that is the central theme of the text, representing the combination of good manners, humility, and social grace.",Good,Courtesy
"A personified concept representing the rigid medieval hierarchy, which the book's rules are designed to uphold and reinforce.",Good,The Social Order
"The ideal role the 'babee' must embody, showing quiet diligence, obedience, and an absence of personal pride.",Good,The Humble Servant
"The negative archetype, representing all the uncivilized behaviors (e.g., slurping soup, speaking out of turn) that the 'babee' is instructed to avoid.",Bad,The Boor (The Lout)
A devout and romantic Scottish Highlander Catholic who sets out to duel the atheist editor James Turnbull to defend the honor of the Virgin Mary.,Good,Evan MacIan
The atheist editor of the journal 'The Atheist'; a man of sincere and passionate disbelief who agrees to duel MacIan over their opposing convictions.,Good,James Turnbull
"The primary antagonist, a calm, nihilistic, and diabolical figure who tries to prevent the duel not because he opposes violence, but because he opposes sincere conviction of any kind.",Bad,Professor Lucifer
"A mad monk who escapes from an asylum and becomes a spiritual guide to the duelists, representing a mystical and untamed form of faith.",Good,Michael (The Monk)
"A simple and rational parish priest who represents the established, logical order of the Church.",Good,The Priest
"A practical and sensible nun who runs a hospital, representing the active, charitable side of faith.",Good,The Nun
"A local official who repeatedly tries to stop the duel, representing a secular society that is indifferent to theological debate.",Ambiguous,The Atheist Magistrate
"A wild, prophetic figure encountered by the duelists, who speaks in apocalyptic terms and represents the raw, irrational power of belief.",Good,The Mad Prophet
"A persona for the poet (Oscar Wilde), a prisoner who observes the suffering of a fellow inmate condemned to death and reflects on the nature of sin, guilt, and punishment.",Good,The Speaker
"Charles Thomas Wooldridge, a Trooper of the Royal Horse Guards who is hanged for murdering his wife. He is the central, silent figure whose fate inspires the poem.",Ambiguous,The Condemned Man (C.T.W.)
"The head of the prison, an authority figure who embodies the rigid and impersonal nature of the penal system.",Bad,The Governor
"A prison official who examines the prisoners, representing a detached and clinical view of human suffering.",Bad,The Doctor
"The prison's religious figure, who offers hollow words of comfort that fail to address the true spiritual and psychological torment of the inmates.",Bad,The Chaplain
"The prison guards, an archetypal group who enforce the brutal, soul-crushing routine of the prison.",Bad,The Warders
"The collective body of inmates, who are united in a secret, silent fellowship of suffering and pity for the condemned man.",Good,The Prisoners
"A personified, abstract force that is portrayed as a cruel and hypocritical system of punishment, divorced from true justice or mercy.",Bad,The Law
"The historical King of Wessex, portrayed as a humble, pious, and thoughtful hero who is called by a vision of the Virgin Mary to rally the Saxons against the Danes.",Good,King Alfred
"A Saxon farmer and warrior, representing the simple, earthy strength and pessimism of the English people.",Good,Eldred
"A Roman-British chieftain, representing the cynical but ultimately loyal remnant of the old Roman civilization in Britain.",Good,Mark
"A Gael (or Celt) chieftain from the west, representing the wild, poetic, and ancient spirit of Britain who joins Alfred's cause.",Good,Colan
"A divine figure who appears to the despairing Alfred in a vision, offering him hope and commanding him to fight for his people.",Good,Our Lady (The Virgin Mary)
"The pagan Danish chieftain, portrayed not as a simple villain, but as a fatalistic and nihilistic warrior who has embraced the emptiness of the old Norse gods.",Bad,Guthrum
"The collective group of Saxon leaders whom Alfred must rally to his banner, each representing a different aspect of the English character.",Good,The Saxon Chieftains
"A prehistoric hill figure, which functions as a central symbol of the poem, representing the ancient, enduring identity of the land of England.",Good,The White Horse of Uffington
"The protagonist, a man of leisure who is convinced that a spectacular, beastly fate is lying in wait for him, an obsession that causes him to miss out on life itself.",Ambiguous,John Marcher
"A kind and intelligent woman who becomes Marcher's loyal companion, agreeing to watch with him for the beast to spring. She is the one person who truly loves him.",Good,May Bartram
"A personified metaphor for the unique, overwhelming destiny that Marcher believes awaits him. It symbolizes his egoism and his inability to live in the present.",Bad,The Beast
"A personified concept representing the unspoken knowledge of Marcher's fate. He entrusts this secret to May, binding her to his passive existence.",Bad,The Secret
"An unnamed man Marcher sees at May's grave, whose face is ravaged by real grief. He serves as a catalyst, revealing to Marcher the truth of his own empty life.",Good,The Other Man
"A personified force that relentlessly passes by as Marcher and May wait for something to happen, symbolizing the squandered years of his life.",Bad,Time
"The backdrop of social rituals and expectations (dinners, operas) which Marcher and May use as a pretext for their endless vigil, masking the emptiness of their relationship.",Ambiguous,Society
The personified outcome of Marcher's obsession; the beast is revealed to be the tragic realization that nothing was ever going to happen to him because he was incapable of love.,Bad,The Unlived Life
"The protagonist, a Harvard-educated aesthete and heir to a massive fortune, who squanders his talent and potential in a haze of alcoholism and aimless dissipation.",Bad,Anthony Patch
"Anthony's wife, a stunningly beautiful, selfish, and spirited flapper who, like Anthony, is unwilling to compromise her ideals for the sake of work or responsibility.",Bad,Gloria Gilbert Patch
"Anthony's grandfather, a billionaire moralist and temperance crusader who threatens to disinherit Anthony for his dissolute lifestyle.",Bad,Adam Patch
"A friend of Anthony's and a successful novelist, whose popular but shallow work serves as a foil to Anthony's failed artistic ambitions.",Ambiguous,Richard 'Dick' Caramel
